,wl,nr,Kab,Kca,Ks,Kw,Kdm,phiI,phiII,KcaV,KcaZ,Kant,KcaV2,phi,nw,cbc,prot,GSV_dim0,GSV_dim1,GSV_dim2
100,500,1.488,0.0190485,0.0990044,0.414,0.000238,2.42,0.0,0.0,0.0990044,0.0990044,0.0677709,0.0990044,0.0,1.33,2.81866,0.0,0.9946,0.56076,0.35405
101,501,1.4878,0.0179798,0.0967335,0.414,0.000246,2.41,0.0,0.0,0.0967335,0.0967335,0.0681326,0.0967335,0.0,1.33,2.80467,0.0,0.9949030000000001,0.561947,0.34914
102,502,1.4876,0.0169429,0.0944502,0.413,0.000255,2.39,0.0,0.0,0.0944502,0.0944502,0.0684792,0.0944502,0.0,1.33,2.79184,0.0,0.995206,0.563134,0.34423
103,503,1.4874,0.0159234,0.0921564,0.412,0.000264,2.38,0.0,0.0,0.0921564,0.0921564,0.0688146,0.0921564,0.0,1.33,2.78018,0.0,0.995509,0.564321,0.33931999999999995
104,504,1.4873,0.0149343,0.0898536,0.411,0.000273,2.37,0.0,0.0,0.0898536,0.0898536,0.0691402,0.0898536,0.0,1.33,2.76852,0.0,0.9958119999999999,0.565508,0.33441
105,505,1.4871,0.0139785,0.0875437,0.41,0.000282,2.37,0.0,0.0,0.0875437,0.0875437,0.0693615,0.0875437,0.0,1.33,2.75802,0.0,0.9961150000000001,0.566695,0.3295
106,506,1.4869,0.0130497,0.08534593626627791,0.409,0.000291,2.36,0.0,0.0,0.08534593626627791,0.0852284,0.069563,0.08534593626627791,0.0,1.33,2.74753,0.0,0.996418,0.567882,0.32459
107,507,1.4867,0.0121542,0.08274830420967505,0.408,0.0003,2.35,0.0,0.0,0.08274830420967505,0.0829094,0.069828,0.08274830420967505,0.0,1.33,2.7382,0.0,0.996721,0.569069,0.31967999999999996
108,508,1.4864,0.0112959,0.0801506721530722,0.407,0.00031,2.34,0.0,0.0,0.0801506721530722,0.0805884,0.0700735,0.0801506721530722,0.0,1.33,2.7300299999999997,0.0,0.997024,0.570256,0.31477
109,509,1.4862,0.01048,0.07769336210977654,0.407,0.000319,2.33,0.0,0.0,0.07769336210977654,0.0782671,0.0702792,0.07769336210977654,0.0,1.33,2.72187,0.0,0.9973270000000001,0.571443,0.30986
110,510,1.486,0.00970081,0.07523605206648087,0.406,0.000329,2.33,0.0,0.0,0.07523605206648087,0.0759473,0.0704719,0.07523605206648087,0.0,1.33,2.71487,0.0,0.99763,0.57263,0.30495
111,511,1.4858,0.00895396,0.07287121464932797,0.405,0.000339,2.32,0.0,0.0,0.07287121464932797,0.0736308,0.0706789,0.07287121464932797,0.0,1.33,2.7090400000000003,0.0,0.9978670000000001,0.573921,0.299663
112,512,1.4856,0.0082461,0.07050637723217507,0.404,0.000349,2.32,0.0,0.0,0.07050637723217507,0.0713191,0.0708719,0.07050637723217507,0.0,1.33,2.70321,0.0,0.9981040000000001,0.5752120000000001,0.294376
113,513,1.4853,0.00758,0.06791942566420783,0.403,0.000359,2.31,0.0,0.0,0.06791942566420783,0.0690141,0.0710254,0.06791942566420783,0.0,1.33,2.69855,0.0,0.9983409999999999,0.576503,0.289089
114,514,1.4851,0.00695743,0.06533247409624061,0.402,0.000368,2.31,0.0,0.0,0.06533247409624061,0.0667175,0.0711652,0.06533247409624061,0.0,1.33,2.69388,0.0,0.998578,0.5777939999999999,0.283802
115,515,1.4848,0.00638669,0.06291166385341056,0.401,0.000377,2.31,0.0,0.0,0.06291166385341056,0.064431,0.0712852,0.06291166385341056,0.0,1.33,2.6903799999999998,0.0,0.998815,0.579085,0.278515
116,516,1.4846,0.00586805,0.06049085361058049,0.4,0.000386,2.3,0.0,0.0,0.06049085361058049,0.0621564,0.0713896,0.06049085361058049,0.0,1.33,2.68688,0.0,0.999052,0.580376,0.273228
117,517,1.4843,0.00540153,0.058036105603915096,0.399,0.000396,2.3,0.0,0.0,0.058036105603915096,0.0598953,0.0714865,0.058036105603915096,0.0,1.33,2.68455,0.0,0.999289,0.5816669999999999,0.267941
118,518,1.4841,0.00499129,0.0555813575972497,0.398,0.000404,2.3,0.0,0.0,0.0555813575972497,0.0576495,0.0715735,0.0555813575972497,0.0,1.33,2.68339,0.0,0.999526,0.582958,0.26265400000000005
119,519,1.4838,0.00463493,0.053117798296310165,0.397,0.000407,2.3,0.0,0.0,0.053117798296310165,0.0554207,0.0716303,0.053117798296310165,0.0,1.33,2.68222,0.0,0.999763,0.5842489999999999,0.257367
120,520,1.4835,0.00433379,0.05065423899537064,0.396,0.000409,2.3,0.0,0.0,0.05065423899537064,0.0532106,0.0716821,0.05065423899537064,0.0,1.33,2.68222,0.0,1.0,0.58554,0.25208
121,521,1.4833,0.00408503,0.04831886835681561,0.395,0.000414,2.3,0.0,0.0,0.04831886835681561,0.0510211,0.0717393,0.04831886835681561,0.0,1.33,2.68222,0.0,0.999885,0.5869009999999999,0.24597400000000003
122,522,1.483,0.00388739,0.04598349771826059,0.394,0.000416,2.3,0.0,0.0,0.04598349771826059,0.0488537,0.0717754,0.04598349771826059,0.0,1.33,2.68222,0.0,0.99977,0.588262,0.23986800000000003
123,523,1.4827,0.00374206,0.04374373161582957,0.393,0.000411,2.3,0.0,0.0,0.04374373161582957,0.0467102,0.0718152,0.04374373161582957,0.0,1.33,2.68222,0.0,0.999655,0.589623,0.233762
124,524,1.4825,0.00365252,0.04150396551339855,0.392,0.000409,2.3,0.0,0.0,0.04150396551339855,0.04436591430047309,0.0718641,0.04150396551339855,0.0,1.33,2.68222,0.0,0.99954,0.590984,0.22765600000000003
125,525,1.4822,0.00361178,0.03935828010702673,0.391,0.000418,2.3,0.0,0.0,0.03935828010702673,0.04212480594779794,0.0719587,0.03935828010702673,0.0,1.33,2.68222,0.0,0.999425,0.5923449999999999,0.22155000000000002
126,526,1.4819,0.00361934,0.037212594700654904,0.391,0.000427,2.3,0.0,0.0,0.037212594700654904,0.039883697595122794,0.0720597,0.037212594700654904,0.0,1.33,2.68222,0.0,0.99931,0.593706,0.21544400000000002
127,527,1.4816,0.00367282,0.03517747979261354,0.39,0.000427,2.3,0.0,0.0,0.03517747979261354,0.03779183345450188,0.0721526,0.03517747979261354,0.0,1.33,2.68222,0.0,0.999195,0.595067,0.20933800000000002
128,528,1.4813,0.00376967,0.03314236488457218,0.389,0.000423,2.3,0.0,0.0,0.03314236488457218,0.03569996931388097,0.0722403,0.03314236488457218,0.0,1.33,2.68222,0.0,0.99908,0.596428,0.203232
129,529,1.481,0.00390324,0.03123215358897207,0.388,0.000424,2.3,0.0,0.0,0.03123215358897207,0.03378535880497309,0.0722952,0.03123215358897207,0.0,1.33,2.68222,0.0,0.998965,0.597789,0.197126
130,530,1.4807,0.00406899,0.02932194229337196,0.387,0.000429,2.3,0.0,0.0,0.02932194229337196,0.031870748296065204,0.0723492,0.02932194229337196,0.0,1.33,2.68222,0.0,0.99885,0.59915,0.19102
